Media,Tactic,Week_start,Year,Quarter,Month,Week,Spending
TV - ABC\GMA3,TV,2020-01-27,2020,1,1,5,0.0
TV - Today Show,TV,2020-01-27,2020,1,1,5,0.0
TV - E!,TV,2020-01-27,2020,1,1,5,0.0
TV - Fox News,TV,2020-01-27,2020,1,1,5,0.0
TV - Weather Channel,TV,2020-01-27,2020,1,1,5,0.0
TV - Recipe.TV,TV,2020-01-27,2020,1,1,5,0.0
TV - Simulmedia,TV,2020-01-27,2020,1,1,5,0.0
TV - FreeWheel,TV,2020-01-27,2020,1,1,5,0.0
TV - Kelly Clarkson Show,TV,2020-01-27,2020,1,1,5,0.0
TV - Sinclair (Global Citizen),TV,2020-01-27,2020,1,1,5,0.0
TV - Cadent (Addressable),TV,2020-01-27,2020,1,1,5,0.0
Sinclair - Local Market (TV),TV,2020-01-27,2020,1,1,5,0.0
Sponsorship - GMA,SPONSORSHIP,2020-01-27,2020,1,1,5,0.0
Sponsorship - Today Show,SPONSORSHIP,2020-01-27,2020,1,1,5,0.0
Sponsorship - Access Live,SPONSORSHIP,2020-01-27,2020,1,1,5,0.0
Sponsorship - E!,SPONSORSHIP,2020-01-27,2020,1,1,5,0.0
Sponsorship - Kelly Clarkson Show,SPONSORSHIP,2020-01-27,2020,1,1,5,0.0
Radio - NYC Pop Up,RADIO,2020-01-27,2020,1,1,5,0.0
Print - FNMagazine \ MSL Holiday,PRINT,2020-01-27,2020,1,1,5,0.0
OOH - Billups,BILLBOARD,2020-01-27,2020,1,1,5,0.0
Ambassador - Jenna Fischer,INFLUENCER,2020-01-27,2020,1,1,5,0.0
Sinclair - Local Market (Digital),DIGITAL,2020-01-27,2020,1,1,5,0.0
GMA (Digital),DIGITAL,2020-01-27,2020,1,1,5,0.0
NBCU - Today Show (Digital),DIGITAL,2020-01-27,2020,1,1,5,0.0
NBCU - Access Live (Digital),DIGITAL,2020-01-27,2020,1,1,5,0.0
NBCU - E! (Digital),DIGITAL,2020-01-27,2020,1,1,5,0.0
NBCU - Tasty,DIGITAL,2020-01-27,2020,1,1,5,0.0
NBCU - Apple News,DIGITAL,2020-01-27,2020,1,1,5,0.0
Kelly Clarkson Show (BTS - Digital),DIGITAL,2020-01-27,2020,1,1,5,0.0
KH Digital - Super Bowl (Tastemade),DIGITAL,2020-01-27,2020,1,1,5,35000.0
KH Digital - Super Bowl (Influencers),DIGITAL,2020-01-27,2020,1,1,5,8250.0
KH Digital - Breakfast (Tastemade),DIGITAL,2020-01-27,2020,1,1,5,0.0
KH Digital - Summer (Delish),DIGITAL,2020-01-27,2020,1,1,5,0.0
KH Digital - BTS (Delish),DIGITAL,2020-01-27,2020,1,1,5,0.0
Digital - 2-Market Test,DIGITAL,2020-01-27,2020,1,1,5,0.0
Digital - Super Bowl (Paid Social),DIGITAL,2020-01-27,2020,1,1,5,41625.0
